co_seq_municipio,co_seq_macroregiao,co_seq_distrito,co_seq_mesoregiao,co_seq_uf,co_seq_regional,co_seq_polo,co_seq_microregiao,co_seq_consorcio,co_ibge,no_municipio,dst_centro_referencia,obs_municipio,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro
1,,,,11,,,,,1100015,Alta Floresta D'Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
2,,,,11,,,,,1100023,Ariquemes,0,,20130501000000,Implantação,20130501000000,Implantação
3,,,,11,,,,,1100031,Cabixi,0,,20130501000000,Implantação,20130501000000,Implantação
4,,,,11,,,,,1100049,Cacoal,0,,20130501000000,Implantação,20130501000000,Implantação
5,,,,11,,,,,1100056,Cerejeiras,0,,20130501000000,Implantação,20130501000000,Implantação
6,,,,11,,,,,1100064,Colorado do Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
7,,,,11,,,,,1100072,Corumbiara,0,,20130501000000,Implantação,20130501000000,Implantação
8,,,,11,,,,,1100080,Costa Marques,0,,20130501000000,Implantação,20130501000000,Implantação
9,,,,11,,,,,1100098,Espigão D'Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
10,,,,11,,,,,1100106,Guajará-Mirim,0,,20130501000000,Implantação,20130501000000,Implantação
11,,,,11,,,,,1100114,Jaru,0,,20130501000000,Implantação,20130501000000,Implantação
12,,,,11,,,,,1100122,Ji-Paraná,0,,20130501000000,Implantação,20130501000000,Implantação
13,,,,11,,,,,1100130,Machadinho D'Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
14,,,,11,,,,,1100148,Nova Brasilândia D'Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
15,,,,11,,,,,1100155,Ouro Preto do Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
16,,,,11,,,,,1100189,Pimenta Bueno,0,,20130501000000,Implantação,20130501000000,Implantação
17,,,,11,,,,,1100205,Porto Velho,0,,20130501000000,Implantação,20130501000000,Implantação
18,,,,11,,,,,1100254,Presidente Médici,0,,20130501000000,Implantação,20130501000000,Implantação
19,,,,11,,,,,1100262,Rio Crespo,0,,20130501000000,Implantação,20130501000000,Implantação
20,,,,11,,,,,1100288,Rolim de Moura,0,,20130501000000,Implantação,20130501000000,Implantação
21,,,,11,,,,,1100296,Santa Luzia D'Oeste,0,,20130501000000,Implantação,20130501000000,Implantação
22,,,,11,,,,,1100304,Vilhena,0,,20130501000000,Implantação,20130501000000,Implantação
23,,,,11,,,,,1100320,São Miguel do Guaporé,0,,20130501000000,Implantação,20130501000000,Implantação
24,,,,11,,,,,1100338,Nova Mamoré,0,,20130501000000,Implantação,20130501000000,Implantação
