co_seq_profissao,no_profissao,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro,co_cbo
34,AUXILIAR DE LABORATÓRIO,20130501000000,Implantação,20130501000000,Implantação,
41,NUTRICIONISTA,20130501000000,Implantação,20130501000000,Implantação,
53,AGENTE COMUNITÁRIO DE SAÚDE,20130501000000,Implantação,20130501000000,Implantação,
83,TÉCNICO (A) DE LABORATÓRIO,20130501000000,Implantação,20130501000000,Implantação,
94,BIÓLOGO (A),20150506115646,Admin,20130501000000,Implantação,221105
100,ASSISTENTE SOCIAL,20130501000000,Implantação,20130501000000,Implantação,
108,FISIOTERAPEUTA,20130501000000,Implantação,20130501000000,Implantação,
132,TÉCNICO (A) DE ENFERMAGEM,20130501000000,Implantação,20130501000000,Implantação,
164,COLETOR (A),20130501000000,Implantação,20130501000000,Implantação,
175,VISITADOR (A) SANITÁRIA,20130501000000,Implantação,20130501000000,Implantação,
228,BIOQUÍMICO (A),20130501000000,Implantação,20130501000000,Implantação,
279,AUXILIAR DE ENFERMAGEM ,20130501000000,Implantação,20130501000000,Implantação,
282,FONOAUDIÓLOGO (A),20130501000000,Implantação,20130501000000,Implantação,
304,PSICÓLOGO (A),20130501000000,Implantação,20130501000000,Implantação,
332,FISCAL SANITÁRIO,20130501000000,Implantação,20130501000000,Implantação,
342,ENGENHEIRO (A),20130501000000,Implantação,20130501000000,Implantação,
346,PROFESSOR (A),20130501000000,Implantação,20130501000000,Implantação,
354,BIBLIOTECÁRIO (A),20130501000000,Implantação,20130501000000,Implantação,
362,ADMINISTRADOR DE EMPRESA,20130501000000,Implantação,20130501000000,Implantação,
363,AUXILIAR ADMINISTRATIVO,20130501000000,Implantação,20130501000000,Implantação,
377,AUXILIAR DE SERVIÇO DE SAÚDE,20130501000000,Implantação,20130501000000,Implantação,
383,TÉCNICO (A) DE CONTABILIDADE,20130501000000,Implantação,20130501000000,Implantação,
417,ATENDENTE DE ENFERMAGEM,20130501000000,Implantação,20130501000000,Implantação,
419,TERAPEUTA OCUPACIONAL,20130501000000,Implantação,20130501000000,Implantação,
424,ADVOGADO (A),20130501000000,Implantação,20130501000000,Implantação,
462,ENFERMEIRO (A),20130501000000,Implantação,20130501000000,Implantação,
470,ESTUDANTE,20130501000000,Implantação,20130501000000,Implantação,
471,ODONTÓLOGO (A),20130501000000,Implantação,20130501000000,Implantação,
481,MÉDICO (A),20130501000000,Implantação,20130501000000,Implantação,225124
489,TÉCNICO (A) EM AGRONOMIA,20130501000000,Implantação,20130501000000,Implantação,
490,EMPRESÁRIO,20130501000000,Implantação,20130501000000,Implantação,
491,PEDAGOGO (A),20130501000000,Implantação,20130501000000,Implantação,
492,ACADÊMICO (A) DE ENFERMAGEM,20130501000000,Implantação,20130501000000,Implantação,
493,TÉCNICO DE PATOLOGIA CLÍNICA,20130501000000,Implantação,20130501000000,Implantação,
494,FARMACÊUTICO,20130501000000,Implantação,20130501000000,Implantação,
495,ESTATíSTICO (A),20130501000000,Implantação,20130501000000,Implantação,
496,ACADÊMICO (A) DE MEDICINA,20130501000000,Implantação,20130501000000,Implantação,
497,ESTAGIÁRIO(A) DE LABORATÓRIO,20130501000000,Implantação,20130501000000,Implantação,
498,GERENTE,20130501000000,Implantação,20130501000000,Implantação,
499,SANITARISTA,20130501000000,Implantação,20130501000000,Implantação,
