co_seq_unidade_saude,co_seq_distrito,co_seq_tp_logradouro,co_seq_municipio,no_unidade_saude,co_ref_unidade,nu_cnes,no_logradouro,nu_logradouro,cmp_nr_logradouro,no_bairro,nu_cep,nu_telefone,nu_fax,ds_email,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro,nu_telefone_auxiliar
1,,113,450,SEC.MUNIC. DE ACAILANDIA,00535-01,6383572,ANITA GARIBALDE                                                CENTRO,,,,,,,,20170908095401,Implantação,20170908095401,Implantação,
2,,113,451,SEMUS AFONSO CUNHA,00679-01,7946724,ANTONIO BACELAR,S/N,,PRACA DA COMUNIDADE,,,,,20170908095401,Implantação,20170908095401,Implantação,
8,,113,456,CENTRO DE S DA MULHER,00209-01,2458861,RODOVIARIA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
10,,113,457,HOSP ALTO A.PINDARE,00222-01,2462192,NOVA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
11,,113,458,SEC.MUNC.DE SAUDE,00721-01,6831737,CEL LINDOLFO LUSTOSA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
16,,113,462,UNID.M.S.M.MONTELES,00203-01,2309580,PRESIDENTE MEDICI,846,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
19,,113,465,APAE DE ARAIOSES,00294-01,3190749,BEIJAMIM CONSTANTINO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
21,,113,467,ARARI-U.M.J.0LIVEIRA,00072-01,2451573,MAJOR PESTANA,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
22,,113,468,HOSP.MATER.AXIXAENSE,00163-01,2308908,SENADOR JOSE SARNEY ,131,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
23,,113,469,HOSP.MATER-INF,00449-01,6922902,1,50,,ESPERANÇA,,,,,20170908095401,Implantação,20170908095401,Implantação,
27,,113,472,C.de S.de Bacurituba,00612-01,2656094,BENJAMIM CONSTANTINO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
31,,113,474,SEC M DE SAUDE B GRAJAU,00489-01, 6744168,AGRIPINO SILVEIRO GALVAO,1035,,VILA CANADA,,,,,20170908095401,Implantação,20170908095401,Implantação,
32,,113,475,H.M.INFANTIL B.CORDA,00285-01,2462583,FRANCISCO MARANHAO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
33,,113,475,HOS.SAO JOSE B.CORDA ,00350-01,2462591,PEDRO BRAGA ,126,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
39,,113,480,UND.MISTA S.BEQUIMAO,00506-01,2726688,CAPITAO J CASTRO,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
43,,113,484,APAE BOM JESUS DAS SELVAS,00629-01,2644142,BURITIRANA ,240,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
44,,113,484,CENTRO DE S.A.NASC-,00600-01,2644142,ADALTO LOPES,S/N,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
40,,113,481,C.S.SAO BERNARDO,00590-01,2463377,NOVA,S/N,,CENTRO,65723000,(  ),(  ),,20190221093028,hiago,20170908095401,Implantação,(  )
17,,113,463,CENTRO DE S. NOSSA Sª DE FATIMA,00419-01,2306522,TANCREDO NEVES,86,,CENTRO,65275000,(98)984895906,(  ),CLEONILDODOSSANTOS@GMAIL.COM,20190221115519,paulo,20170908095401,Implantação,(  )
14,,113,461,CENTRO DE S.G.REGO,00416-01,2646404,NINA RODRIGUES,S/N,,CENTRO,65490000,(  ),(  ),,20190325123938,hiago,20170908095401,Implantação,(  )
30,,113,474,C.ESP. DR. SEBASTIAO MARTINS,00123-01,2460378,AGRIPINO SILVEIRO GALVAO,1035,,CENTRO,65660000,(  ),(  ),,20190521083333,hiago,20170908095401,Implantação,(  )
24,,113,470,U.B.S. DR. DOMAR BRITO ANCELES,00573-01,2390434,JOSE DA SILVA CALVET,S/N,,CENTRO,65143000,(98)988083874,(  ),,20190521090210,hiago,20170908095401,Implantação,(98)996133580
45,,113,485,UBS. MARIA NAILDE,00742-01,2715864,DA ESPERANCA,S/N,RES. JOANNA D CUNHA,CENTRO,65704000,(99)981326062,(  ),JDARKBACABAL@GMAIL.COM,20190612152013,carliane,20170908095401,Implantação,(99)984203039
7,,113,455,UBS. DE ALTAMIRA,00593-01,2309572,GETULIO VARGAS ,S/N,,CENTRO,     ,(  ),(  ),,20190612153648,carliane,20170908095401,Implantação,(  )
6,,113,454,HOSP.MUNICIPAL FRANCISCA SOUSA ALMEIDA,00503-01,7137818,ALDORICO MACHADO,S/N,,CENTRO,65610000,(99)988476311,(  ),,20190619082532,hiago,20170908095401,Implantação,(  )
49,,113,488,HOSP BURITINENSE,00142-01,9219277,ANTONIO MOURAO,84,,CENTRO,,,,,20170908095401,Implantação,20170908095401,Implantação,
47,,113,487,U.B.S. JOAQUIM TIMOTEO,00532-01,2464578,OLARIA,S/N,,CENTRO,     ,(  ),(  ),,20220304142222,yago,20170908095401,Implantação,(  )
38,,113,479,U.B.S. DEP. LUIS COELHO,00669-01,2645335,PRAÇA JOSE SARNEY ,S/N,,CENTRO,65885000,(89)988087543,(  ),,20210812140831,yago,20170908095401,Implantação,(89)988087543
25,,113,471,SEMUS DE BACURI,00508-01,7977859,7 DE SETEMBRO,S/N,,CENTRO,     ,(  ),(  ),,20211228095653,yago,20170908095401,Implantação,(  )
26,,113,471,U.B.S. SÃO JOÃO BATISTA,00578-01,2463989,CESAR BANDEIRA,S/N,,CENTRO,65270000,(  ),(  ),,20211228095711,yago,20170908095401,Implantação,(  )
20,,113,466,U.B.S. DR. MARIA AMALIA JORGE TEIXEIRA,00392-01,2604116,RIO BRANCO,S/N,,CENTRO,     ,(  ),(  ),,20220221092845,yago,20170908095401,Implantação,(  )
