co_seq_cargo,no_cargo,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro
19,COORDENADOR (A) DO PSF,20130501000000,Implantação,20130501000000,Implantação
21,RESPONSÁVEL - PROMOÇÃO A SAÚDE,20130501000000,Implantação,20130501000000,Implantação
24,DIRETORA METROPOLITANA DE SAÚDE,20130501000000,Implantação,20130501000000,Implantação
66,COORDENADOR (A) DE RECURSOS HUMANOS,20130501000000,Implantação,20130501000000,Implantação
137,COORDENADOR (A) DE FINANÇAS,20130501000000,Implantação,20130501000000,Implantação
195,COORDENADOR (A) DE REGULAÇÃO EM SAÚDE,20130501000000,Implantação,20130501000000,Implantação
472,COORDENADOR (A) DE LABORATÓRIO,20130501000000,Implantação,20130501000000,Implantação
525,COORDENADOR (A) DA APAE,20130501000000,Implantação,20130501000000,Implantação
552,COORDENADOR (A) DE PROGRAMA,20130501000000,Implantação,20130501000000,Implantação
589,PRÓ-REITOR,20130501000000,Implantação,20130501000000,Implantação
595,COORDENADOR (A) DE SERVIÇO ASSISTENCIAL,20130501000000,Implantação,20130501000000,Implantação
597,COLETOR (A),20130501000000,Implantação,20130501000000,Implantação
652,ENFERMEIRO (A),20130501000000,Implantação,20130501000000,Implantação
691,DIRETOR (A) CLÍNICO,20130501000000,Implantação,20130501000000,Implantação
739,COORDENADOR (A) AMBULATÓRIO,20130501000000,Implantação,20130501000000,Implantação
784,GERENTE ADMINISTRATIVO,20130501000000,Implantação,20130501000000,Implantação
795,COORDENADOR (A) DE SERVIÇO DE VIGILÂNCIA À SAÚDE,20130501000000,Implantação,20130501000000,Implantação
802,CHEFE DE SERVIÇO MÉDICO,20130501000000,Implantação,20130501000000,Implantação
820,AUXILIAR DE ENFERMAGEM,20130501000000,Implantação,20130501000000,Implantação
840,CHEFE DE DIVISÃO ASSISTENCIAL,20130501000000,Implantação,20130501000000,Implantação
842,REITOR,20130501000000,Implantação,20130501000000,Implantação
861,TÉCNICO (A) DE LABORATÓRIO,20130501000000,Implantação,20130501000000,Implantação
864,COORDENADOR (A) AÇÕES MÉDICAS,20130501000000,Implantação,20130501000000,Implantação
876,SECRETÁRIO (A) DE SAÚDE,20130501000000,Implantação,20130501000000,Implantação
880,GERENTE DA UNIDADE DE SAÚDE,20130501000000,Implantação,20130501000000,Implantação
910,MÉDICO (A),20130501000000,Implantação,20130501000000,Implantação
918,DIRETOR (A),20130501000000,Implantação,20130501000000,Implantação
943,COORDENADOR (A) DE ENFERMAGEM,20130501000000,Implantação,20130501000000,Implantação
944,COORDENADOR (A) HEMOCENTRO,20130501000000,Implantação,20130501000000,Implantação
945,COORDENADOR (A) DA VIGILÂNCIA EPIDEMIOLÓGICA,20130501000000,Implantação,20130501000000,Implantação
946,CHEFE DO DEPARTAMENTO,20130501000000,Implantação,20130501000000,Implantação
947,FISCAL DA VIGILÂNCIA SANITÁRIA,20130501000000,Implantação,20130501000000,Implantação
948,SUPERVISOR DE IMUNIZAÇÃO,20130501000000,Implantação,20130501000000,Implantação
949,DIRETOR ADMINISTRATIVO,20130501000000,Implantação,20130501000000,Implantação
950,DIRETOR HOSPITALAR,20130501000000,Implantação,20130501000000,Implantação
951,ASSITENTE SOCIAL,20130501000000,Implantação,20130501000000,Implantação
952,ESTAGIÁRIO(A),20130501000000,Implantação,20130501000000,Implantação
953,COORDENADOR DO SERVIÇO INTENSIVO NEONATAL,20130501000000,Implantação,20130501000000,Implantação
954,COORDENADOR DO CTI PEDIATRICO,20130501000000,Implantação,20130501000000,Implantação
955,SUPERINTENDENTE HOSPITALAR,20130501000000,Implantação,20130501000000,Implantação
956,COORDENADOR (A) DE EQUIPE MULTIDISCIPLINAR,20130501000000,Implantação,20130501000000,Implantação
957,COORDENADOR (A) DE DE EPIDEMIOLOGIA,20130501000000,Implantação,20130501000000,Implantação
958,COORDENADOR (A) DE ATENÇÃO Á SAÚDE,20130501000000,Implantação,20130501000000,Implantação
959,COORDENADOR (A) DE VIGILÂNCIA SANITÁRIA,20130501000000,Implantação,20130501000000,Implantação
960,COORDENADOR (A) DE ATENÇÃO BÁSICA,20130501000000,Implantação,20130501000000,Implantação
961,COORDENADOR (A) DE GESTÃO,20130501000000,Implantação,20130501000000,Implantação
962,COORDENADOR (A) ATENÇÃO SAÚDE DA CRIANÇA E ADOLESC,20130501000000,Implantação,20130501000000,Implantação
963,COORDENADOR (A) DO CENTRO VIVA VIDA,20130501000000,Implantação,20130501000000,Implantação
964,TÉCNICO (A) DE ENFERMAGEM,20140428081039,ana.araujo,20140428081039,ana.araujo
965,NUTRICIONISTA,20140605093829,ana.araujo,20140605093829,ana.araujo
1,PSICOLOGO (A),20240409095524,Admin,20240409095524,Admin
