co_mot_inadequacao,ds_mot_inadequacao,dt_hr_ultima_alteracao,aut_ultima_alteracao,dt_hr_registro,aut_registro,ide_outro
0,Não identificado,20130501000000,Implantação,20130501000000,Implantação,N
1,Os cinco círculos não foram preenchidos,20130501000000,Implantação,20130501000000,Implantação,N
2,A área do(s) círculo(s) não foi (foram) totalmente preenchida(s),20130501000000,Implantação,20130501000000,Implantação,N
3,"Gota muito pequena, insuficiente para análise",20130501000000,Implantação,20130501000000,Implantação,N
4,"Gota não penetrou totalmente no papel, não atingiu o verso",20130501000000,Implantação,20130501000000,Implantação,N
5,Múltiplas gotas sobrepostas,20130501000000,Implantação,20130501000000,Implantação,N
6,Não houve eluição (sangue não se separou do papel),20130501000000,Implantação,20130501000000,Implantação,N
7,Amostra com aspecto de diluição do sangue,20130501000000,Implantação,20130501000000,Implantação,N
8,Amostra danificada,20130501000000,Implantação,20130501000000,Implantação,N
9,Amostra coletada antes do terceiro dia,20130501000000,Implantação,20130501000000,Implantação,N
10,Amostra recebida com mais de 15 dias após a coleta,20130501000000,Implantação,20130501000000,Implantação,N
11,Outros,20130501000000,Implantação,20130501000000,Implantação,S
12,Houve desnaturação da hemoglobina,20130501000000,Implantação,20130501000000,Implantação,N
13,Criança recebeu transfusão de sangue,20130501000000,Implantação,20130501000000,Implantação,N
14,Provável contaminação por fungos,20130501000000,Implantação,20130501000000,Implantação,N
15,Tempo de dieta insuficiente,20130501000000,Implantação,20130501000000,Implantação,N
16,Amostra colhida com mais de 30 dias de vida,20130501000000,Implantação,20130501000000,Implantação,N
17,Hemólise intensa,20151203161101,ADMIN,20151203161101,ADMIN,N
18,Lipemia intensa,20151203161101,ADMIN,20151203161101,ADMIN,N
19,Volume insuficiente,20151203161101,ADMIN,20151203161101,ADMIN,N
20,Tubo vazio,20151203161101,ADMIN,20151203161101,ADMIN,N
21,Material danificado,20151203161101,ADMIN,20151203161101,ADMIN,N
22,Sangue colocado na frente e no verso não penetrando totalmente,20160622140101,ADMIN,20160622140101,ADMIN,N
23,Erro na identificação do material,20170125160701,ADMIN,20170125160701,ADMIN,N
